"Alolan Sandshrew",50
Aron,50
Azurill,50
Barboach,50
Bellsprout,50
Bonsly,50
Cacnea,50
Carbink,50
Cascoon,50
Chewtle,50
Clauncher,50
Cleffa,50
Clobbopus,50
Cloyster,50
Cubone,50
"Deoxys Attack Forme",50
"Deoxys Defense Forme",50
"Deoxys Normal Forme",50
"Deoxys Speed Forme",50
Diancie,50
Dottler,50
Dwebble,50
"Fan Rotom",50
"Frost Rotom",50
"Galarian Meowth",50
"Galarian Mr. Mime",50
"Galarian Ponyta",50
Grookey,50
Grovyle,50
"Heat Rotom",50
Hitmonchan,50
Hitmonlee,50
Hitmontop,50
Joltik,50
Karrablast,50
Larvitar,50
Litwick,50
Magcargo,50
Magneton,50
Mareanie,50
Mawile,50
"Mega Diancie",50
"Mega Mawile",50
"Mega Sableye",50
Metapod,50
"Mow Rotom",50
Mudkip,50
Panpour,50
Pansage,50
Pansear,50
Pidove,50
Pineco,50
Ponyta,50
Popplio,50
Psyduck,50
Roselia,50
Rotom,50
Sableye,50
Sandile,50
Sandshrew,50
Scorbunny,50
Scraggy,50
Shelmet,50
Silcoon,50
Sizzlipede,50
Skitty,50
Skrelp,50
Snorunt,50
Sobble,50
Spiritomb,50
Swinub,50
Totodile,50
Toxapex,50
Trubbish,50
Tympole,50
Vibrava,50
"Wash Rotom",50
