"Eternamax Eternatus",1125,True
Cosmog,200,True
Meltan,300,True
Kubfu,385,True
Cosmoem,400,True
Phione,480,True
"Zygarde 10% Forme",486,True
Calyrex,500,True
"Urshifu Single Strike Style",550,True
"Gigantamax Urshifu Single Strike Style",550,True
"Urshifu Rapid Strike Style",550,True
"Gigantamax Urshifu Rapid Strike Style",550,True
"Tapu Koko",570,True
"Tapu Lele",570,True
"Tapu Bulu",570,True
"Tapu Fini",570,True
Articuno,580,True
"Galarian Articuno",580,True
Zapdos,580,True
"Galarian Zapdos",580,True
Moltres,580,True
"Galarian Moltres",580,True
Raikou,580,True
Entei,580,True
Suicune,580,True
Regirock,580,True
Regice,580,True
Registeel,580,True
Uxie,580,True
Mesprit,580,True
Azelf,580,True
Cobalion,580,True
Terrakion,580,True
Virizion,580,True
"Tornadus Incarnate Forme",580,True
"Tornadus Therian Forme",580,True
"Thundurus Incarnate Forme",580,True
"Thundurus Therian Forme",580,True
"Keldeo Ordinary Forme",580,True
"Keldeo Resolute Forme",580,True
Regieleki,580,True
Regidrago,580,True
Glastrier,580,True
Spectrier,580,True
Mew,600,True
Celebi,600,True
Latias,600,True
Latios,600,True
Jirachi,600,True
"Deoxys Normal Forme",600,True
"Deoxys Attack Forme",600,True
"Deoxys Defense Forme",600,True
"Deoxys Speed Forme",600,True
Heatran,600,True
Cresselia,600,True
Manaphy,600,True
Darkrai,600,True
"Shaymin Land Forme",600,True
"Shaymin Sky Forme",600,True
Victini,600,True
"Landorus Incarnate Forme",600,True
"Landorus Therian Forme",600,True
"Meloetta Aria Forme",600,True
"Meloetta Pirouette Forme",600,True
Genesect,600,True
"Zygarde 50% Forme",600,True
Diancie,600,True
"Hoopa Confined",600,True
Volcanion,600,True
Necrozma,600,True
Magearna,600,True
Marshadow,600,True
Zeraora,600,True
Melmetal,600,True
"Gigantamax Melmetal",600,True
Zarude,600,True
"Dada Zarude",600,True
Kyurem,660,True
Kyogre,670,True
Groudon,670,True
Regigigas,670,True
"Zacian Hero of Many Battles",670,True
"Zamazenta Hero of Many Battles",670,True
Mewtwo,680,True
Lugia,680,True
Ho-oh,680,True
Rayquaza,680,True
Dialga,680,True
Palkia,680,True
"Giratina Altered Forme",680,True
"Giratina Origin Forme",680,True
Reshiram,680,True
Zekrom,680,True
Xerneas,680,True
Yveltal,680,True
"Hoopa Unbound",680,True
Solgaleo,680,True
Lunala,680,True
"Dusk Mane Necrozma",680,True
"Dawn Wings Necrozma",680,True
"Ice Rider Calyrex",680,True
"Shadow Rider Calyrex",680,True
Eternatus,690,True
"Mega Latias",700,True
"Mega Latios",700,True
"Black Kyurem",700,True
"White Kyurem",700,True
"Mega Diancie",700,True
"Zygarde Complete Forme",708,True
Arceus,720,True
"Zacian Crowned Sword Forme",720,True
"Zamazenta Crowned Sheild Forme",720,True
"Ultra Necrozma",754,True
"Primal Kyogre",770,True
"Primal Groudon",770,True
"Mega Mewtwo X",780,True
"Mega Mewtwo Y",780,True
"Mega Rayquaza",780,True
