"Aegislash Blade Forme",60
"Aegislash Shield Forme",60
"Alolan Marowak",60
"Alolan Raichu",60
Arbok,60
Bastiodon,60
Bayleef,60
Beautifly,60
Breloom,60
Brionne,60
Butterfree,60
Chandelure,60
Claydol,60
Combusken,60
Cursola,60
Deerling,60
Dodrio,60
Drilbur,60
Drowzee,60
Dustox,60
Eldegoss,60
Electrode,60
Exeggcute,60
"Galarian Corsola",60
Gengar,60
"Gigantamax Butterfree",60
"Gigantamax Gengar",60
"Gigantamax Orbeetle",60
Gloom,60
Gothorita,60
Hoothoot,60
"Indeedee Male",60
Ivysaur,60
Kabutops,60
Kecleon,60
Klang,60
Klinklang,60
Krokorok,60
Kubfu,60
Lairon,60
Lampent,60
Lombre,60
Luxio,60
Marowak,60
Medicham,60
"Mega Gengar",60
"Mega Medicham",60
Metang,60
"Minior Core Forme",60
"Minior Meteor Forme",60
Minun,60
Misdreavus,60
Mismagius,60
Murkrow,60
Numel,60
Orbeetle,60
Pachirisu,60
Parasect,60
Pelipper,60
Plusle,60
Polteageist,60
Probopass,60
Raichu,60
Ribombee,60
Roserade,60
Scolipede,60
Servine,60
Shiinotic,60
Shroomish,60
Slakoth,60
Snover,60
Snubbull,60
Spinda,60
Spoink,60
Starmie,60
Swellow,60
Teddiursa,60
Turtonator,60
Venonat,60
Watchog,60
Whimsicott,60
"Wormadam Plant Cloak",60
"Wormadam Sandy Cloak",60
"Wormadam Trash Cloak",60
Zoroark,60
