Magikarp,Water,20,10
Shuckle,Bug,20,10
Blissey,Normal,255,10
"Mega Venusaur",Grass,80,100
Sandslash,Ground,75,100
"Alolan Sandslash",Ice,75,100
"Alolan Dugtrio",Ground,35,100
Machoke,Fighting,80,100
Rapidash,Fire,65,100
"Galarian Rapidash",Psychic,65,100
"Galarian Slowbro",Poison,95,100
Tauros,Normal,75,100
Moltres,Fire,90,100
Mew,Psychic,100,100
Sudowoodo,Rock,70,100
Piloswine,Ice,100,100
Celebi,Psychic,100,100
Shiftry,Grass,90,100
"Mega Medicham",Fighting,60,100
Camerupt,Fire,70,100
Trapinch,Ground,45,100
Flygon,Ground,80,100
Seviper,Poison,73,100
Regirock,Rock,80,100
"Mega Latias",Dragon,80,100
Kyogre,Water,100,100
Jirachi,Steel,100,100
Ambipom,Normal,75,100
Carnivine,Grass,74,100
Tangrowth,Grass,100,100
Dusknoir,Ghost,45,100
"Giratina Altered Forme",Ghost,150,100
Manaphy,Water,100,100
"Shaymin Land Forme",Grass,100,100
Victini,Psychic,100,100
Samurott,Water,95,100
Zebstrika,Electric,75,100
Throh,Fighting,120,100
Scolipede,Bug,60,100
Sawsbuck,Normal,80,100
Klinklang,Steel,60,100
"Tornadus Therian Forme",Flying,79,100
Gogoat,Grass,123,100
Goodra,Dragon,90,100
"Gourgeist Super Size",Ghost,85,100
"Zygarde 10% Forme",Dragon,54,100
"Zygarde 50% Forme",Dragon,108,100
"Zygarde Complete Forme",Dragon,216,100
Diancie,Rock,50,100
Mudbray,Ground,70,100
"Minior Core Forme",Rock,60,100
Falinks,Fighting,65,100
Dracozolt,Electric,90,100
Arctozolt,Electric,90,100
Regieleki,Electric,80,100
Regidrago,Dragon,200,100
Celesteela,Steel,97,101
Guzzlord,Dark,223,101
Pincurchin,Electric,48,101
Nidoking,Poison,81,102
"Mega Blastoise",Water,79,103
"Shaymin Sky Forme",Grass,100,103
Leavanny,Bug,75,103
"Mega Charizard Y",Fire,78,104
Huntail,Water,55,104
Infernape,Fire,76,104
Primeape,Fighting,65,105
Victreebel,Grass,80,105
Muk,Poison,105,105
"Alolan Muk",Poison,105,105
Krabby,Water,30,105
"Alolan Exeggutor",Grass,95,105
Hitmonchan,Fighting,50,105
Aerodactyl,Rock,80,105
Feraligatr,Water,85,105
Octillery,Water,75,105
"Mega Mawile",Steel,50,105
Floatzel,Water,85,105
Mesprit,Psychic,80,105
Boldore,Rock,70,105
Gurdurr,Fighting,85,105
Zoroark,Dark,60,105
Hydreigon,Dark,92,105
"Thundurus Therian Forme",Electric,79,105
Barbaracle,Rock,72,105
Lurantis,Grass,70,105
Bruxish,Water,68,105
Toxicroak,Poison,83,106
Chesnaught,Grass,88,107
Decidueye,Grass,78,107
Necrozma,Psychic,97,107
Sandaconda,Ground,72,107
"Gigantamax Sandaconda",Ground,72,107
Carracosta,Water,74,108
Torterra,Grass,95,109
Durant,Bug,58,109
Arcanine,Fire,90,110
Dodrio,Normal,60,110
Scyther,Bug,70,110
Snorlax,Normal,160,110
"Gigantamax Snorlax",Normal,160,110
Mewtwo,Psychic,106,110
"Mega Sceptile",Grass,70,110
Swampert,Water,100,110
Aggron,Steel,70,110
"Mega Altaria",Dragon,75,110
Lucario,Fighting,70,110
Leafeon,Grass,65,110
Stoutland,Normal,85,110
Beartic,Ice,95,110
Bouffalant,Normal,95,110
Doublade,Steel,59,110
Trevenant,Ghost,85,110
"Hoopa Confined",Psychic,80,110
Volcanion,Fire,80,110
Gumshoos,Normal,88,110
Kommo-o,Dragon,75,110
Flapple,Grass,70,110
"Gigantamax Flapple",Grass,70,110
Perrserker,Steel,70,110
Hippowdon,Ground,108,112
Archen,Rock,55,112
Zeraora,Electric,88,112
